,Country,Min,Max,alloc,bins,cut_idx,day,month,year
61,Bangladesh,0.000136121847957,0.0005444873918270001,0.00042197772866600007,"[0.00013571 0.00017696 0.00021779 0.00025863 0.00029947 0.0003403
 0.00038114 0.00042198 0.00046281 0.00050365 0.00054449]",7,16,2,2020
62,Portugal,0.000135445429991,0.000541781719965,0.00041988083297280003,"[0.00013504 0.00017608 0.00021671 0.00025735 0.00029798 0.00033861
 0.00037925 0.00041988 0.00046051 0.00050115 0.00054178]",7,16,2,2020
63,Bahrain,0.00013444408482100003,0.000537776339286,0.0004167766629465001,"[0.00013404 0.00017478 0.00021511 0.00025544 0.00029578 0.00033611
 0.00037644 0.00041678 0.00045711 0.00049744 0.00053778]",7,16,2,2020
64,Costa Rica,0.000133058271484,0.000532233085938,0.0004124806416018,"[0.00013266 0.00017298 0.00021289 0.00025281 0.00029273 0.00033265
 0.00037256 0.00041248 0.0004524  0.00049232 0.00053223]",7,16,2,2020
65,Nicaragua,0.000132127914326,0.0005285116573030001,0.00040959653440990004,"[0.00013173 0.00017177 0.0002114  0.00025104 0.00029068 0.00033032
 0.00036996 0.0004096  0.00044923 0.00048887 0.00052851]",7,16,2,2020
66,Turkey,0.000130903975994,0.000523615903976,0.00040580232558140003,"[0.00013051 0.00017018 0.00020945 0.00024872 0.00028799 0.00032726
 0.00036653 0.0004058  0.00044507 0.00048434 0.00052362]",7,16,2,2020
67,Guatemala,0.00012677754464299998,0.000507110178571,0.00039301038839259993,"[0.0001264  0.00016481 0.00020284 0.00024088 0.00027891 0.00031694
 0.00035498 0.00039301 0.00043104 0.00046908 0.00050711]",7,16,2,2020
68,Zambia,0.00012510757523100002,0.000500430300926,0.00038783348321749995,"[0.00012473 0.00016264 0.00020017 0.0002377  0.00027524 0.00031277
 0.0003503  0.00038783 0.00042537 0.0004629  0.00050043]",7,16,2,2020
69,Qatar,0.000125077246544,0.000500308986175,0.00038773946428570006,"[0.0001247  0.0001626  0.00020012 0.00023765 0.00027517 0.00031269
 0.00035022 0.00038774 0.00042526 0.00046279 0.00050031]",7,16,2,2020
70,Ecuador,0.000121651318438,0.000486605273752,0.0003771190871578,"[0.00012129 0.00015815 0.00019464 0.00023114 0.00026763 0.00030413
 0.00034062 0.00037712 0.00041361 0.00045011 0.00048661]",7,16,2,2020
71,Greece,0.000119440202206,0.000477760808824,0.0003702646268386,"[0.00011908 0.00015527 0.0001911  0.00022694 0.00026277 0.0002986
 0.00033443 0.00037026 0.0004061  0.00044193 0.00047776]",7,16,2,2020
